organization,primary_sector,scope1_2,industry_mean_scope1_2,deviation
The Southern Company,Thermal power generation,105064580.92,32559887.141231883,72504693.77876812
Duke Energy Corporation,Thermal power generation,96572000.0,32559887.141231883,64012112.85876812
"American Electric Power Company, Inc.",Thermal power generation,91100669.0,32559887.141231883,58540781.85876812
The Dow Chemical Company,Chemicals,34774426.0,3437119.735733333,31337306.264266666
The AES Corporation,Thermal power generation,59632787.0,32559887.141231883,27072899.858768117
Ameren Corporation,Energy utility networks,29662598.0,3806622.5,25855975.5
"Air Products & Chemicals, Inc.",Chemicals,25920000.0,3437119.735733333,22482880.264266666
Canadian Natural Resources Limited,Oil & gas extraction & production,25015699.46,4601067.299431819,20414632.16056818
LyondellBasell Industries N.V.,Chemicals,23162000.0,3437119.735733333,19724880.264266666
Linde PLC,Chemicals,21292000.0,3437119.735733333,17854880.264266666
NRG Energy Inc,Thermal power generation,49900181.0,32559887.141231883,17340293.858768117
American Airlines Group Inc,Air transport,39748651.0,22877975.575714286,16870675.424285714
Archer Daniels Midland,Food & beverage processing,17363000.0,882845.2198484848,16480154.780151514
ConocoPhillips,Oil & gas extraction & production,20262752.0,4601067.299431819,15661684.70056818
Xcel Energy Inc.,Thermal power generation,47946006.0,32559887.141231883,15386118.858768117
"Walmart, Inc.",Convenience retail,19158993.0,3958659.0579999997,15200333.942
Delta Air Lines,Air transport,37301125.03,22877975.575714286,14423149.454285715
FedEx Corporation,Intermodal transport & logistics,16202370.0,2182484.606,14019885.394
Suncor Energy Inc.,Oil & gas processing,22130207.0,9274180.35,12856026.65
UPS,Intermodal transport & logistics,14635000.0,2182484.606,12452515.394
Nutrien Ltd.,Chemicals,14761145.0,3437119.735733333,11324025.264266666
United Airlines Holdings,Air transport,33466543.0,22877975.575714286,10588567.424285714
International Paper Company,Paper products & packaging,12506279.0,2227132.4977777777,10279146.502222221
Occidental Petroleum Corporation,Oil & gas extraction & production,14470000.0,4601067.299431819,9868932.70056818
"Waste Management, Inc.",Non-energy utilities,16518235.0,7007470.6,9510764.4
TC Energy,Oil & gas storage & transportation,13913386.0,4876529.333333333,9036856.666666668
NiSource Inc.,Energy utility networks,12624470.0,3806622.5,8817847.5
AK Steel Holding Corporation,"Metal smelting, refining & forming",8955859.0,1395845.625,7560013.375
Union Pacific Corporation,Rail transport,11740126.31,4774019.688571429,6966106.621428572
AT&T Inc.,"Media, telecommunications & data center services",7681860.0,964808.89125,6717051.10875
"Williams Companies, Inc.",Oil & gas storage & transportation,11576000.0,4876529.333333333,6699470.666666667
Cargill,Food & beverage processing,7421863.0,882845.2198484848,6539017.780151515
"Republic Services, Inc.",Non-energy utilities,13500615.0,7007470.6,6493144.4
Avis Budget Group,"Trading, wholesale, distribution, rental & leasing",6872414.0,588969.6082795699,6283444.39172043
"Marriott International, Inc.","Bars, hotels & restaurants",6836301.0,1333837.9679999999,5502463.032
WestRock Company,Paper products & packaging,7673986.57,2227132.4977777777,5446854.072222223
General Motors Company,Transportation equipment,6086316.0,645252.6023913043,5441063.397608696
"Tyson Foods, Inc.",Food & beverage processing,6223579.0,882845.2198484848,5340733.780151515
"Micron Technology, Inc.",Electrical & electronic equipment,5618610.0,393877.94455128204,5224732.055448718
"FORTUS TECHNOLOGIES, INC",Metal products manufacturing,5451681.93,372143.78133333335,5079538.148666667
Chemours Co/The,Chemicals,8366000.0,3437119.735733333,4928880.264266667
"PepsiCo, Inc.",Food & beverage processing,5207239.0,882845.2198484848,4324393.780151515
Barrick Gold Corporation,Metallic mineral mining,5451000.0,1236396.51,4214603.49
Ford Motor Company,Transportation equipment,4792771.0,645252.6023913043,4147518.3976086956
Eastman Chemical Company,Chemicals,7427740.0,3437119.735733333,3990620.264266667
Intel Corporation,Electrical & electronic equipment,4377000.0,393877.94455128204,3983122.055448718
"Alphabet, Inc.",Web & marketing services,4408207.0,504502.72222222225,3903704.277777778
DTE Energy Company,Thermal power generation,36184000.0,32559887.141231883,3624112.8587681167
Husky Energy Inc.,Oil & gas processing,12894000.0,9274180.35,3619819.6500000004
Verizon Communications Inc.,"Media, telecommunications & data center services",4418820.0,964808.89125,3454011.10875
Newmont Mining Corporation,Metallic mineral mining,4686595.18,1236396.51,3450198.67
Owens Corning,Other materials,4298225.25,875466.0416666666,3422759.2083333335
3M Company,Chemicals,6650000.0,3437119.735733333,3212880.264266667
Hertz Global Holdings,"Trading, wholesale, distribution, rental & leasing",3703313.0,588969.6082795699,3114343.39172043
Ingredion Incorporated,Food & beverage processing,3946109.0,882845.2198484848,3063263.7801515153
Microsoft Corporation,IT & software development,3091246.0,193074.4487037037,2898171.5512962965
Arconic Corp,Powered machinery,3307928.0,492140.990263158,2815787.009736842
Bunge,"Trading, wholesale, distribution, rental & leasing",3269071.0,588969.6082795699,2680101.39172043
Digital Realty Trust Inc,Financial services,2795930.0,171088.25329545455,2624841.7467045453
Anadarko Petroleum Corporation,Oil & gas extraction & production,7071480.0,4601067.299431819,2470412.7005681815
Goodyear Tire & Rubber Company,Light manufacturing,2742299.0,372889.305,2369409.695
General Electric Company,Powered machinery,2804558.16,492140.990263158,2312417.169736842
CONSOL Energy Inc,Coal mining,7514924.0,5205697.52,2309226.4800000004
Honeywell International Inc.,Electrical & electronic equipment,2527992.0,393877.94455128204,2134114.055448718
Corning Incorporated,Metal products manufacturing,2408882.0,372143.78133333335,2036738.2186666667
"Lowe's Companies, Inc.",Discretionary retail,2406203.0,399419.16086956527,2006783.8391304347
The Mosaic Company,Chemicals,5440439.0,3437119.735733333,2003319.264266667
Kroger,Convenience retail,5917427.0,3958659.0579999997,1958767.9420000003
Johnson Controls International PLC,Electrical & electronic equipment,2347591.0,393877.94455128204,1953713.055448718
Texas Instruments Incorporated,Electrical & electronic equipment,2257142.0,393877.94455128204,1863264.055448718
"The Home Depot, Inc.",Discretionary retail,2165436.0,399419.16086956527,1766016.8391304347
ON Semiconductor,Electrical & electronic equipment,2146663.0,393877.94455128204,1752785.055448718
Magna International Inc.,Metal products manufacturing,2120298.0,372143.78133333335,1748154.2186666667
Devon Energy Corporation,Oil & gas extraction & production,6301624.88,4601067.299431819,1700557.5805681814
Cabot Corporation,Chemicals,5092000.0,3437119.735733333,1654880.264266667
Domtar Corporation,Wood & paper materials,2540199.0,1054255.46,1485943.54
Algonquin Power & Utilities Corporation,Renewable power generation,2880730.73,1470104.0833333333,1410626.6466666667
United Technologies Corporation,Electrical & electronic equipment,1790783.0,393877.94455128204,1396905.055448718
Procter & Gamble Company,Chemicals,4736516.0,3437119.735733333,1299396.264266667
CenturyLink,"Media, telecommunications & data center services",2261767.9600000004,964808.89125,1296959.0687500006
Canadian National Railway Company,Rail transport,5965175.0,4774019.688571429,1191155.3114285711
Pfizer Inc.,Biotech & pharma,1662639.5,490762.4593333333,1171877.0406666668
"Berry Global Group, Inc",Light manufacturing,1498004.0,372889.305,1125114.695
Resolute Forest Products Inc.,Wood & paper materials,2162211.5,1054255.46,1107956.04
CVS Health,Financial services,1274099.11,171088.25329545455,1103010.8567045457
Halliburton Company,Industrial support services,1309109.0,216348.259,1092760.741
Sonoco Products Company,Plastic product manufacturing,1172734.0,94117.4662,1078616.5338
"Hilton Worldwide, Inc.","Bars, hotels & restaurants",2407097.0,1333837.9679999999,1073259.0320000001
International Business Machines (IBM),IT & software development,1257663.0,193074.4487037037,1064588.5512962963
Comcast Corporation,"Media, telecommunications & data center services",1994841.0,964808.89125,1030032.10875
"EQUINIX, INC.","Media, telecommunications & data center services",1963093.0,964808.89125,998284.10875
Crown Holdings,Metal products manufacturing,1367305.0,372143.78133333335,995161.2186666667
"Albertsons Companies, Inc.",Convenience retail,4952323.49,3958659.0579999997,993664.4320000005
Ball Corporation,Metal products manufacturing,1336267.0,372143.78133333335,964123.2186666667
Walt Disney Company,"Media, telecommunications & data center services",1925397.0,964808.89125,960588.10875
Darling Ingredients Inc,Food & beverage processing,1825499.0,882845.2198484848,942653.7801515152
Mondelez International Inc,Food & beverage processing,1781224.0,882845.2198484848,898378.7801515152
Boeing Company,Transportation equipment,1538000.0,645252.6023913043,892747.3976086957
Eli Lilly & Co.,Biotech & pharma,1375528.0,490762.4593333333,884765.5406666667
Mars,Food & beverage processing,1759420.0,882845.2198484848,876574.7801515152
Sysco Corporation,"Trading, wholesale, distribution, rental & leasing",1456132.0,588969.6082795699,867162.3917204301
Manulife Financial Corp.,Financial services,989846.0,171088.25329545455,818757.7467045455
Eaton Corporation,Electrical & electronic equipment,1203962.2233333334,393877.94455128204,810084.2787820513
Kohler Co.,Leisure & home manufacturing,859900.0,54371.64676470588,805528.3532352941
"EOG Resources, Inc.",Oil & gas extraction & production,5405641.45,4601067.299431819,804574.1505681816
Packaging Corporation Of America,Paper products & packaging,3020015.333333333,2227132.4977777777,792882.8355555553
Western Digital Corp,Electrical & electronic equipment,1156553.9000000001,393877.94455128204,762675.955448718
Wells Fargo & Company,Financial services,928520.0,171088.25329545455,757431.7467045455
Abbott Laboratories,Health care provision,1050000.0,305551.2158333333,744448.7841666667
"Merck & Co., Inc.",Biotech & pharma,1208100.0,490762.4593333333,717337.5406666667
American Axle & MFG Holdings Inc,Metal products manufacturing,1082996.9,372143.78133333335,710853.1186666666
Bank of America,Financial services,876311.0,171088.25329545455,705222.7467045455
Thermo Fisher Scientific Inc.,Medical equipment & supplies,838288.95,137876.427,700412.5229999999
Deere & Company,Powered machinery,1146115.0,492140.990263158,653974.009736842
JPMorgan Chase & Co.,Financial services,822559.0,171088.25329545455,651470.7467045455
Johnson & Johnson,Biotech & pharma,1125380.0,490762.4593333333,634617.5406666667
Hormel Foods,Food & beverage processing,1510937.0,882845.2198484848,628091.7801515152
The Coca-Cola Company,Food & beverage processing,1508070.0,882845.2198484848,625224.7801515152
Ecolab Inc.,Commercial & consumer services,663940.0,40473.16380952381,623466.8361904762
Baxter International Inc.,Medical equipment & supplies,754000.0,137876.427,616123.573
Novelis Inc.,"Metal smelting, refining & forming",2008304.0,1395845.625,612458.375
AMKOR TECHNOLOGY INC,Electrical & electronic equipment,987632.52,393877.94455128204,593754.5754487179
Lockheed Martin Corporation,Electrical & electronic equipment,964630.0,393877.94455128204,570752.0554487179
"Cisco Systems, Inc.",IT & software development,707879.0,193074.4487037037,514804.5512962963
Flex Ltd.,Electrical & electronic equipment,905182.0,393877.94455128204,511304.05544871796
Citigroup Inc.,Financial services,657652.0,171088.25329545455,486563.74670454545
Sealed Air Corp.,Plastic product manufacturing,523283.0,94117.4662,429165.5338
Greif Inc,Metal products manufacturing,792559.0,372143.78133333335,420415.21866666665
Baker Hughes Company,Industrial support services,635624.0,216348.259,419275.74100000004
Philip Morris International,Tobacco,830499.0,422265.41,408233.59
Microchip Technology,Electrical & electronic equipment,777693.0,393877.94455128204,383815.05544871796
"TJX Companies, Inc.",Discretionary retail,782883.0,399419.16086956527,383463.83913043473
Cummins Inc.,Powered machinery,872845.0,492140.990263158,380704.009736842
FirstEnergy Corporation,Thermal power generation,32925763.0,32559887.141231883,365875.8587681167
"Becton, Dickinson and Co.",Medical equipment & supplies,498281.0,137876.427,360404.573
"Smithfield Foods, Inc.",Food & beverage processing,1241919.0,882845.2198484848,359073.78015151515
Norfolk Southern Corp.,Rail transport,5126284.26,4774019.688571429,352264.5714285709
Jabil Inc.,Electrical & electronic equipment,731422.0,393877.94455128204,337544.05544871796
T Mobile USA inc,"Media, telecommunications & data center services",1279127.0,964808.89125,314318.10875
Oracle Corporation,IT & software development,507001.0,193074.4487037037,313926.5512962963
Illinois Tool Works Inc.,Metal products manufacturing,674833.0,372143.78133333335,302689.21866666665
Welltower Inc.,Financial services,470760.0,171088.25329545455,299671.74670454545
CSX Corporation,Rail transport,5073431.25,4774019.688571429,299411.5614285711
"Ryder System, Inc.","Trading, wholesale, distribution, rental & leasing",868792.0,588969.6082795699,279822.3917204301
Emerson Electric Co.,Electrical & electronic equipment,671634.5,393877.94455128204,277756.55544871796
Las Vegas Sands Corporation,Entertainment facilities,1001770.0,725407.8333333334,276362.1666666666
NIKE Inc.,Textiles & fabric goods,303558.75,35127.203157894735,268431.5468421053
Ventas Inc,Financial services,437110.0,171088.25329545455,266021.74670454545
Hyatt Hotels,"Bars, hotels & restaurants",1593244.0,1333837.9679999999,259406.03200000012
Hanesbrands Inc.,Textiles & fabric goods,290575.0,35127.203157894735,255447.79684210528
Kellogg Company,Food & beverage processing,1133896.0,882845.2198484848,251050.78015151515
"Best Buy Co., Inc.",Discretionary retail,650039.0,399419.16086956527,250619.83913043473
Cooper Tire & Rubber,Light manufacturing,614690.5,372889.305,241801.195
Gildan Activewear Inc.,Apparel design,331634.0,95691.36375,235942.63624999998
"The Martin-Brower Company, L.L.C.",Road transport,334314.0,104597.91750000001,229716.0825
Caesars Entertainment,Entertainment facilities,950305.3333333334,725407.8333333334,224897.5
Sungard Availability Services (Sungard AS),Specialized professional services,252320.07000000004,29342.111234567903,222977.95876543212
Molson Coors Brewing Company,Food & beverage processing,1103631.0,882845.2198484848,220785.78015151515
Deloitte Touche Tohmatsu Limited,Specialized professional services,249925.0,29342.111234567903,220582.8887654321
"Host Hotels & Resorts, Inc.",Financial services,389904.0,171088.25329545455,218815.74670454545
jcpenney,Discretionary retail,615613.41,399419.16086956527,216194.24913043476
"Macy's, Inc.",Discretionary retail,597752.0,399419.16086956527,198332.83913043473
US Foods,"Trading, wholesale, distribution, rental & leasing",765795.78,588969.6082795699,176826.17172043014
U.S. Bancorp,Financial services,346374.5,171088.25329545455,175286.24670454545
Dana,Metal products manufacturing,542129.47,372143.78133333335,169985.68866666663
Iron Mountain Inc.,IT & software development,362485.5,193074.4487037037,169411.0512962963
Kohl's Corporation,Discretionary retail,553933.0,399419.16086956527,154513.83913043473
"Mattel, Inc.",Leisure & home manufacturing,196022.03999999998,54371.64676470588,141650.3932352941
Weyerhaeuser Company,Wood & paper materials,1195000.0,1054255.46,140744.54000000004
Newell Brands,Leisure & home manufacturing,194960.69,54371.64676470588,140589.0432352941
News Corp,Print & publishing services,183501.27,43123.015,140378.255
AbbVie Inc,Biotech & pharma,630569.0,490762.4593333333,139806.5406666667
Simon Property Group,Financial services,309962.5,171088.25329545455,138874.24670454545
VF Corporation,Apparel design,233248.0,95691.36375,137556.63624999998
Northrop Grumman Corp,Electrical & electronic equipment,529998.25,393877.94455128204,136120.30544871796
Saputo Inc.,Food & beverage processing,1000200.0,882845.2198484848,117354.78015151515
"Healthpeak Properties, Inc.",Financial services,279165.77,171088.25329545455,108077.51670454547
Transcontinental Inc.,Print & publishing services,150723.0,43123.015,107599.985
Dell Technologies,Electrical & electronic equipment,495346.0,393877.94455128204,101468.05544871796
"Stanley Black & Decker, Inc.",Metal products manufacturing,470734.0,372143.78133333335,98590.21866666665
Silgan Plastics,Plastic product manufacturing,189609.5,94117.4662,95492.0338
Butterball,Fish & animal farming,156877.0,61482.333333333336,95394.66666666666
AptarGroup,Plastic product manufacturing,189046.0,94117.4662,94928.5338
"Salesforce.com, Inc.",IT & software development,285662.0,193074.4487037037,92587.5512962963
"Automatic Data Processing, Inc.",Specialized professional services,119759.77,29342.111234567903,90417.6587654321
MGM Resorts International,Entertainment facilities,815676.0,725407.8333333334,90268.16666666663
SNC-Lavalin Group Inc.,Construction,97549.77,8666.06380952381,88883.7061904762
HNI Corporation,Leisure & home manufacturing,139078.0,54371.64676470588,84706.35323529411
Bloomberg,Specialized professional services,111150.26000000001,29342.111234567903,81808.14876543211
"PNC Financial Services Group, Inc.",Financial services,249396.0,171088.25329545455,78307.74670454545
Mastronardi Produce Limited,Crop farming,118737.0,40928.72666666666,77808.27333333335
Vulcan Materials Company,Other materials,951169.0,875466.0416666666,75702.95833333337
Visa,Specialized professional services,101684.0,29342.111234567903,72341.8887654321
Thomson Reuters Corporation,Specialized professional services,101383.0,29342.111234567903,72040.8887654321
Steelcase,Leisure & home manufacturing,125143.04000000001,54371.64676470588,70771.39323529412
Morgan Stanley,Financial services,239100.0,171088.25329545455,68011.74670454545
Parker-Hannifin Corporation,Powered machinery,558057.0,492140.990263158,65916.00973684201
"Fiserv, Inc.",Specialized professional services,86084.0,29342.111234567903,56741.8887654321
Fluor Corporation,Construction,64848.0,8666.06380952381,56181.93619047619
"CBRE Group, Inc.",Other services,70508.0,22530.744642857142,47977.25535714286
PVH Corp,Apparel design,143522.0,95691.36375,47830.636249999996
Mastercard Incorporated,Specialized professional services,76135.5,29342.111234567903,46793.3887654321
JLL,Other services,64551.0,22530.744642857142,42020.25535714286
Ingram Micro Inc.,Commercial & consumer services,79866.49,40473.16380952381,39393.3261904762
Textron Inc.,Transportation equipment,684630.0,645252.6023913043,39377.39760869567
Paramount Group Inc,Land & property ownership & development,64176.2475,29842.0825,34334.16499999999
CREE INC.,Electrical & electronic equipment,427876.0,393877.94455128204,33998.05544871796
Herman Miller,Leisure & home manufacturing,86200.0,54371.64676470588,31828.35323529412
ManpowerGroup,Specialized professional services,57223.0,29342.111234567903,27880.888765432097
Broadridge Financial Solutions Inc,Specialized professional services,55529.0,29342.111234567903,26186.888765432097
Northland Power Inc,Renewable power generation,1495842.0,1470104.0833333333,25737.916666666744
Goldman Sachs Group Inc.,Financial services,196291.0,171088.25329545455,25202.746704545454
WSP,Specialized professional services,53961.0,29342.111234567903,24618.888765432097
Entegris Inc,Plastic product manufacturing,113475.55,94117.4662,19358.083800000008
Stantec Inc.,Specialized professional services,48143.0,29342.111234567903,18800.888765432097
Houweling's Group,Crop farming,59026.0,40928.72666666666,18097.273333333338
ABM INDUSTRIES INC,Commercial & consumer services,55846.59,40473.16380952381,15373.426190476188
Ernst & Young LLP (USA),Specialized professional services,43708.7,29342.111234567903,14366.588765432094
"Knouse Foods, Inc",Crop farming,54105.520000000004,40928.72666666666,13176.793333333342
"Zimmer Biomet Holdings, Inc.",Medical equipment & supplies,150045.0,137876.427,12168.573000000004
Raytheon Company,Electrical & electronic equipment,405835.0,393877.94455128204,11957.055448717962
AXIUM,Plastic product manufacturing,100665.675,94117.4662,6548.208800000008
Capital One Financial,Financial services,177593.5,171088.25329545455,6505.246704545454
"Nasdaq, Inc",Specialized professional services,35305.0,29342.111234567903,5962.888765432097
S&P Global,Specialized professional services,32721.11,29342.111234567903,3378.9987654320976
SOUTHWIRE CO.,Electrical & electronic equipment,396296.5,393877.94455128204,2418.5554487179616
OFS Brands,Leisure & home manufacturing,56527.28,54371.64676470588,2155.633235294117
WILSON CONSTRUCTION,Construction,10506.25,8666.06380952381,1840.18619047619
US Cotton,Textiles & fabric goods,36829.0,35127.203157894735,1701.7968421052647
TD Bank Group,Financial services,172475.0,171088.25329545455,1386.7467045454541
Total System Services (TSYS),Specialized professional services,29609.63,29342.111234567903,267.518765432098
Gap Inc.,Discretionary retail,399551.0,399419.16086956527,131.8391304347315
Royal Caribbean Cruises Ltd,Marine transport,4384341.5,4384341.5,0.0
Trinseo LLC,Wood & rubber products,1061966.0,1061966.0,0.0
Exelon Corporation,Nuclear power generation,15646344.0,15646344.0,0.0
World Bank Group,International bodies,65356.863333333335,65356.863333333335,0.0
First Solar Inc,Renewable energy equipment,450090.0,450090.0,0.0
BECK GROUP - HC BECK,Construction,7439.92,8666.06380952381,-1226.14380952381
BLACK & VEATCH LIMITED,Specialized professional services,24484.0,29342.111234567903,-4858.111234567903
First Capital Realty Inc.,Land & property ownership & development,24820.0,29842.0825,-5022.0825
Rinchem Company Inc,Commercial & consumer services,32737.0,40473.16380952381,-7736.163809523809
"Austin General Contracting, Inc.",Construction,599.99,8666.06380952381,-8066.07380952381
POTTERS CONSTRUCTION,Construction,350.0,8666.06380952381,-8316.06380952381
Wisconsin Energy Conservation Corporation (WECC),Construction,348.40999999999997,8666.06380952381,-8317.65380952381
"Infinity Communications, LLC*",Construction,345.0,8666.06380952381,-8321.06380952381
VERICON CONSTRUCTION CO LLC,Construction,0.0,8666.06380952381,-8666.06380952381
GRADY CRAWFORD CONSTRUCTION CO,Construction,0.0,8666.06380952381,-8666.06380952381
MDU Resources Group Inc,Construction,0.0,8666.06380952381,-8666.06380952381
BANCKER ELECTRIC,Construction,0.0,8666.06380952381,-8666.06380952381
VANTAGE BUILDERS,Construction,0.0,8666.06380952381,-8666.06380952381
PLATINUM GENERAL SERVICES,Construction,0.0,8666.06380952381,-8666.06380952381
Hartford Paving,Construction,0.0,8666.06380952381,-8666.06380952381
"Union Electric, Inc.",Construction,0.0,8666.06380952381,-8666.06380952381
TREE CARE OF NEW YORK,Construction,0.0,8666.06380952381,-8666.06380952381
"BARTLETT BRAINARD EACOTT, INC.",Construction,0.0,8666.06380952381,-8666.06380952381
SCHWEITZER INC,Construction,0.0,8666.06380952381,-8666.06380952381
CYMA BUILDERS & CONSTRUCTION M S INC,Construction,0.0,8666.06380952381,-8666.06380952381
UNIVERSAL CONSTRUCTION,Construction,0.0,8666.06380952381,-8666.06380952381
Verisk Analytics Inc,Specialized professional services,19785.370000000003,29342.111234567903,-9556.7412345679
BGIS,Other services,11092.0,22530.744642857142,-11438.744642857142
Moody's Corporation,Specialized professional services,17836.166666666668,29342.111234567903,-11505.944567901235
Epic Designers,Textiles & fabric goods,23081.399999999998,35127.203157894735,-12045.803157894738
Booz Allen Hamilton,Specialized professional services,16982.789999999997,29342.111234567903,-12359.321234567906
Blue Cross Blue Shield Massachusetts,Other services,9090.3125,22530.744642857142,-13440.432142857142
"Fossil, Inc.",Leisure & home manufacturing,40581.55,54371.64676470588,-13790.096764705879
MSCI,Specialized professional services,10700.300000000001,29342.111234567903,-18641.811234567904
PayPal Holdings Inc,Specialized professional services,10076.0,29342.111234567903,-19266.111234567903
Cartus,Other services,2473.9,22530.744642857142,-20056.84464285714
BNY Mellon,Financial services,150157.0,171088.25329545455,-20931.253295454546
General Mills Inc.,Food & beverage processing,861849.0,882845.2198484848,-20996.21984848485
SHI International Corp.,Specialized professional services,8026.0,29342.111234567903,-21316.111234567903
UNLEASHING LEADERS INC,Other services,0.0,22530.744642857142,-22530.744642857142
CALIENTE CONSTRUCTION INC,Other services,0.0,22530.744642857142,-22530.744642857142
Kelly Services,Specialized professional services,6344.5,29342.111234567903,-22997.611234567903
Guidehouse,Specialized professional services,5565.0,29342.111234567903,-23777.111234567903
Robert Half International Inc.,Commercial & consumer services,15466.560000000001,40473.16380952381,-25006.603809523807
DaVita Inc.,Health care provision,279855.295,305551.2158333333,-25695.920833333337
EMCOR Group Inc.,Specialized professional services,3597.0,29342.111234567903,-25745.111234567903
"Kimball International, Inc.",Leisure & home manufacturing,28083.14,54371.64676470588,-26288.506764705882
Edelman,Specialized professional services,2487.57,29342.111234567903,-26854.541234567903
Akamai Technologies Inc,IT & software development,166081.88999999998,193074.4487037037,-26992.55870370372
J M Farms,Crop farming,13703.84,40928.72666666666,-27224.88666666666
CHA HOLDINGS,Specialized professional services,1602.7,29342.111234567903,-27739.411234567902
"GZA Geoenvironmental, Inc.",Specialized professional services,1221.46,29342.111234567903,-28120.651234567904
Charles Komar & Sons,Textiles & fabric goods,6862.18,35127.203157894735,-28265.023157894735
ENGIE Impact,Specialized professional services,1010.74,29342.111234567903,-28331.3712345679
Bank of Montreal,Financial services,141944.0,171088.25329545455,-29144.253295454546
"Krueger International, Inc",Leisure & home manufacturing,25162.03,54371.64676470588,-29209.616764705883
DESIGN LABORATORY INC,Specialized professional services,59.67,29342.111234567903,-29282.441234567905
BEACHHEAD INCORPORATED,Specialized professional services,32.7,29342.111234567903,-29309.411234567902
Prairiesky Royalty Ltd,Land & property ownership & development,530.0,29842.0825,-29312.0825
SHANG HAI JING SHENG,Specialized professional services,20.0,29342.111234567903,-29322.111234567903
Strong Tower Consulting,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
PATTERSON & SHERIDAN,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
MONUMENT CONSULTING LLC,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
Fidelity National Information Services,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
Insight Global,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
SUN TECHNOLOGIES INC,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
"exp U.S. Services, Inc",Specialized professional services,0.0,29342.111234567903,-29342.111234567903
SKY TESTING SERVICES,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
NCS TECHNOLOGIES,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
CONTROLPOINT TECHNOLOGIES,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
"LOUREIRO ENGINEERING ASSOCIATES, INC.",Specialized professional services,0.0,29342.111234567903,-29342.111234567903
ALLEGIS GROUP SAS,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
Icon Health & Fitness Inc,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
ULC ROBOTICS,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
MOSAIC SALES SOLUTIONS US OPERATING,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
Performance Technology Partners,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
CATALYSIS Inc.,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
REDMOND TECHNOLOGY PARTNERS LLC,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
THE SPUR GROUP INC,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
GEOSYNTEC CONSULTANTS,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
THE ROSEN GROUP PROFESSIONAL,Specialized professional services,0.0,29342.111234567903,-29342.111234567903
National Office Furniture,Leisure & home manufacturing,23798.62,54371.64676470588,-30573.026764705883
Garan Manufacturing Corp,Textiles & fabric goods,4481.24,35127.203157894735,-30645.963157894737
Boston Scientific Corporation,Medical equipment & supplies,105568.0,137876.427,-32308.426999999996
Evenflo Company Inc,Leisure & home manufacturing,21256.0,54371.64676470588,-33115.64676470588
Bumble Bee Foods LLC,Fish & animal farming,27570.0,61482.333333333336,-33912.333333333336
Land N Sea Inc,Textiles & fabric goods,800.95,35127.203157894735,-34326.25315789474
American Express,Financial services,136726.0,171088.25329545455,-34362.253295454546
Jiangyin Shule,Textiles & fabric goods,614.5,35127.203157894735,-34512.703157894735
Tai Apparel Inc.,Textiles & fabric goods,330.0,35127.203157894735,-34797.203157894735
SUNRISE IDENTITY LLC,Textiles & fabric goods,197.62,35127.203157894735,-34929.58315789473
PEKING HANDICRAFT INC,Textiles & fabric goods,86.22,35127.203157894735,-35040.983157894734
NYC ALLIANCE COMPANY LLC,Textiles & fabric goods,0.0,35127.203157894735,-35127.203157894735
Greensource,Textiles & fabric goods,0.0,35127.203157894735,-35127.203157894735
Jjs Mae Inc Dba Rainbeau,Textiles & fabric goods,0.0,35127.203157894735,-35127.203157894735
Olaes Enterprises,Textiles & fabric goods,0.0,35127.203157894735,-35127.203157894735
E S Originals Inc,Textiles & fabric goods,0.0,35127.203157894735,-35127.203157894735
Fashion Avenue Knits Inc,Textiles & fabric goods,0.0,35127.203157894735,-35127.203157894735
S P L Industries Limited,Textiles & fabric goods,0.0,35127.203157894735,-35127.203157894735
Town & Country Linen,Textiles & fabric goods,0.0,35127.203157894735,-35127.203157894735
DG3 NORTH AMERICA INC,Print & publishing services,5767.17,43123.015,-37355.845
"Harvard Maintenance, Inc.",Commercial & consumer services,1765.8000000000002,40473.16380952381,-38707.363809523806
Teknion Limited,Leisure & home manufacturing,14690.0,54371.64676470588,-39681.64676470588
Levi Strauss & Co.,Apparel design,55996.0,95691.36375,-39695.363750000004
IWCO DIRECT,Print & publishing services,3222.68,43123.015,-39900.335
Stryker Corporation,Medical equipment & supplies,97854.0,137876.427,-40022.426999999996
NEWPORT IP LLC,Commercial & consumer services,314.0,40473.16380952381,-40159.16380952381
EPE INDUSTRIES,Commercial & consumer services,0.0,40473.16380952381,-40473.16380952381
