organization,primary_sector,scope1,scope2,scope3,scope1_2,scope_weighted,total_emission
"MetLife, Inc.",Financial services,16016.0,96467.0,1019311.9485714285,112483.0,240810.48971428574,1131794.9485714287
Metro Inc.,Convenience retail,224769.0,36882.0,42775.075,261651.0,132004.115,304426.075
MGM Resorts International,Entertainment facilities,246147.0,569529.0,339096.625,815676.0,361751.52499999997,1154772.625
Microchip Technology,Electrical & electronic equipment,529371.0,248322.0,3599.0,777693.0,339901.89999999997,781292.0
"Micron Technology, Inc.",Electrical & electronic equipment,2945735.0,2672875.0,734633.0,5618610.0,2421656.6,6353243.0
Microsoft Corporation,IT & software development,90723.0,3000523.0,1621320.0,3091246.0,1269782.4,4712566.0
Molson Coors Brewing Company,Food & beverage processing,436457.0,667174.0,822227.1666666666,1103631.0,582826.1333333333,1925858.1666666665
Moody's Corporation,Specialized professional services,187.66666666666666,17648.5,8950.0,17836.166666666668,7178.383333333333,26786.166666666668
The Mosaic Company,Chemicals,3753783.0,1686656.0,583100.2616666666,5440439.0,2499508.3523333333,6023539.261666667
Morgan Stanley,Financial services,29800.0,209300.0,223852.5,239100.0,122460.5,462952.5
"Nasdaq, Inc",Specialized professional services,0.0,35305.0,16281.0,35305.0,13847.7,51586.0
National Bank of Canada,Financial services,2536.0,3200.0,10215.0,5736.0,4271.0,15951.0
Guidehouse,Specialized professional services,1250.0,4315.0,7497.5,5565.0,3419.0,13062.5
Navistar International Corporation,Transportation equipment,88982.0,125015.0,50000000.0,213997.0,10081995.5,50213997.0
NetApp Inc.,Electrical & electronic equipment,5354.0,96532.0,32807.0,101886.0,38198.0,134693.0
Netgear,Electrical & electronic equipment,342.015,2085.98,35043.0,2427.995,7805.4015,37470.995
Newmont Mining Corporation,Metallic mineral mining,3110597.86,1575997.32,536434.2416666666,4686595.18,2135384.9743333333,5223029.421666666
Newell Brands,Leisure & home manufacturing,12304.86,182655.83,80.0,194960.69,60965.179,195040.69
NIKE Inc.,Textiles & fabric goods,38757.25,264801.5,2499416.0,303558.75,598702.275,2802974.75
NiSource Inc.,Energy utility networks,12580801.0,43669.0,2892254.0,12624470.0,6881952.0,15516724.0
Norfolk Southern Corp.,Rail transport,4930129.64,196154.62,1009331.8133333334,5126284.26,2725777.5686666663,6135616.073333333
"Nordstrom, Inc.",Discretionary retail,51024.0,204888.0,9103.0,255912.0,88799.0,265015.0
Eversource Energy,Energy utility networks,169369.0,642868.0,9829816.0,812237.0,2243508.1,10642053.0
Northrop Grumman Corp,Electrical & electronic equipment,136791.5,393206.75,227902.0,529998.25,231938.175,757900.25
Northland Power Inc,Renewable power generation,1495842.0,,,1495842.0,,1495842.0
Novelis Inc.,"Metal smelting, refining & forming",1097088.0,911216.0,,2008304.0,,2008304.0
NRG Energy Inc,Thermal power generation,49711181.0,189000.0,6900.0,49900181.0,24913670.5,49907081.0
NVIDIA Corporation,Electrical & electronic equipment,2671.0,64940.0,61104.28571428572,67611.0,33038.357142857145,128715.28571428571
Occidental Petroleum Corporation,Oil & gas extraction & production,10370000.0,4100000.0,35500000.0,14470000.0,13515000.0,49970000.0
OGE Energy Corp.,Thermal power generation,14129995.0,170973.0,,14300968.0,,14300968.0
Oneok Inc.,Oil & gas storage & transportation,2650000.0,,58100000.0,2650000.0,,60750000.0
Omnicom Group Inc.,Web & marketing services,30614.0,65407.0,144103.0,96021.0,63749.7,240124.0
ON Semiconductor,Electrical & electronic equipment,1470613.0,676050.0,,2146663.0,,2146663.0
Oracle Corporation,IT & software development,17084.0,489917.0,196227.55555555556,507001.0,194762.61111111112,703228.5555555555
Ormat Technologies Inc,Renewable power generation,27679.14,6060.38,,33739.52,,33739.52
"OSMOSE UTILITIES SERVICES, INC",Energy utility networks,,,,0.0,,0.0
Owens Corning,Other materials,2758402.5,1539822.75,432464.55333333334,4298225.25,1927640.9856666666,4730689.803333334
PACCAR Inc,Transportation equipment,121123.0,171594.0,14624244.666666666,292717.0,3036888.633333334,14916961.666666666
Reynolds Consumer Products,Light manufacturing,,,,0.0,,0.0
Parker-Hannifin Corporation,Powered machinery,76695.0,481362.0,72644.33333333333,558057.0,197284.96666666667,630701.3333333334
"PerkinElmer, Inc.",Medical equipment & supplies,12751.0,19197.0,14833.0,31948.0,15101.199999999999,46781.0
"PepsiCo, Inc.",Food & beverage processing,3577266.0,1629973.0,4832152.307692308,5207239.0,3244055.3615384614,10039391.307692308
PG&E Corporation,Thermal power generation,4115621.0,816018.0,7384296.333333333,4931639.0,3779475.1666666665,12315935.333333332
Pfizer Inc.,Biotech & pharma,772901.0,889738.5,368055.5,1662639.5,726983.15,2030695.0
Philip Morris International,Tobacco,408162.0,422337.0,491976.3,830499.0,429177.36,1322475.3
Pinnacle West Capital Corporation,Thermal power generation,12008503.0,13940.0,1252976.8333333333,12022443.0,6259028.866666666,13275419.833333334
Pitney Bowes Inc.,Electrical & electronic equipment,28660.0,47924.0,7654.5,76584.0,30238.1,84238.5
"PNC Financial Services Group, Inc.",Financial services,35299.0,214097.0,16614.125,249396.0,85201.425,266010.125
Plexus,Electrical & electronic equipment,3693.0,95358.0,,99051.0,,99051.0
Ralph Lauren Corporation,Discretionary retail,,,,0.0,,0.0
"PPG Industries, Inc.",Chemicals,410000.0,520000.0,,930000.0,,930000.0
PPL Corporation,Thermal power generation,29380243.5,441331.5,571748.8925,29821575.0,14936870.9785,30393323.8925
Power Corporation of Canada,Financial services,22999.0,31025.0,23391.833333333332,54024.0,25485.36666666667,77415.83333333333
Power Financial Corporation,Financial services,16618.0,31014.0,23776.333333333332,47632.0,22368.466666666664,71408.33333333333
Linde PLC,Chemicals,8325000.0,12967000.0,704750.0,21292000.0,8193550.0,21996750.0
Precision Valve Corporation,Metal products manufacturing,1569.43,34185.6,,35755.03,,35755.03
"Principal Financial Group, Inc.",Financial services,6867.0,36583.0,6426.0,43450.0,15693.6,49876.0
Procter & Gamble Company,Chemicals,2137895.0,2598621.0,21017535.3,4736516.0,6052040.86,25754051.3
Prologis,Financial services,2737.0,3562.3333333333335,766168.8333333334,6299.333333333334,155670.9666666667,772468.1666666667
Public Service Enterprise Group Inc.,Thermal power generation,13684640.0,965720.0,2643206.0,14650360.0,7660677.2,17293566.0
Public Storage,Financial services,11819.506666666666,106805.61333333334,,118625.12000000001,,118625.12000000001
"Prudential Financial, Inc.",Financial services,14311.0,58206.0,42712.0,72517.0,33159.7,115229.0
Quebecor Inc.,"Media, telecommunications & data center services",13823.9,147.02,267.33,13970.92,7009.522,14238.25
QUALCOMM Inc.,Electrical & electronic equipment,76092.0,130390.0,55626.0,206482.0,88288.2,262108.0
Quest Diagnostics Incorporated,Health care provision,91585.0,124895.5,15763.666666666666,216480.5,86413.88333333333,232244.16666666666
Raytheon Company,Electrical & electronic equipment,89311.0,316524.0,68319.6,405835.0,153276.62000000002,474154.6
Regions Financial Corporation,Financial services,5781.75,113567.5,9095.0,119349.25,38780.125,128444.25
REGAL BELOIT,Electrical & electronic equipment,5854.9875,260154.025,,266009.0125,,266009.0125
"Republic Services, Inc.",Non-energy utilities,13199147.0,301468.0,366645.44444444444,13500615.0,6763342.98888889,13867260.444444444
BlackBerry Limited,IT & software development,4283.22,3722.57,2355.8199999999997,8005.790000000001,3729.545,10361.61
MSCI,Specialized professional services,659.77,10040.53,2313.27,10700.300000000001,3804.698,13013.570000000002
Robert Half International Inc.,Commercial & consumer services,,15466.560000000001,19180.74,15466.560000000001,,34647.3
Rockwell Automation,Electrical & electronic equipment,33912.0,91688.0,0.0,125600.0,44462.399999999994,125600.0
Rogers Communications Inc.,"Media, telecommunications & data center services",34419.0,133160.0,17291.5,167579.0,60615.8,184870.5
Royal Caribbean Cruises Ltd,Marine transport,4373276.75,11064.75,1062.0,4384341.5,2190170.1999999997,4385403.5
Royal Bank of Canada,Financial services,24430.0,92065.0,210354.33333333334,116495.0,81905.36666666667,326849.3333333334
"Ryder System, Inc.","Trading, wholesale, distribution, rental & leasing",749903.0,118889.0,1186381.0,868792.0,647894.4,2055173.0
"Safeguard Properties, LLC",Financial services,,,,0.0,,0.0
"Salesforce.com, Inc.",IT & software development,4701.0,280961.0,92630.6,285662.0,105164.92000000001,378292.6
Saputo Inc.,Food & beverage processing,500133.0,500067.0,12194179.76,1000200.0,2838922.552,13194379.76
Sealed Air Corp.,Plastic product manufacturing,134130.0,389153.0,887946.25,523283.0,361400.15,1411229.25
SEI Investments Company,Financial services,,,,0.0,,0.0
Sempra Energy,Thermal power generation,6020406.0,481159.0,12998219.0,6501565.0,5754194.5,19499784.0
ShawCor Ltd.,Industrial support services,64987.0,42361.0,,107348.0,,107348.0
Sherwin-Williams Company,Chemicals,482017.0,327180.0,1564174.6,809197.0,651997.42,2373371.6
Wheaton Precious Metals,Financial services,0.0,25.93,140.195,25.93,35.818,166.125
Simon Property Group,Financial services,19037.5,290925.0,147847.75,309962.5,126365.8,457810.25
SNC-Lavalin Group Inc.,Construction,63176.740000000005,34373.03,40181.71,97549.77,49936.621,137731.48
SMART Modular Technologies,Electrical & electronic equipment,159.055,5571.11,,5730.165,,5730.165
Southwest Airlines Co.,Air transport,20537710.0,46972.0,98066.66666666667,20584682.0,10302559.933333334,20682748.666666668
SOUTHWIRE CO.,Electrical & electronic equipment,105782.0,290514.5,508265.54545454547,396296.5,241698.45909090908,904562.0454545454
Starbucks Corporation,"Bars, hotels & restaurants",319567.78,803984.18,2307893.152,1123551.96,862557.7744,3431445.1119999997
Star of the West,Food & beverage processing,2624.69,24607.45,8311.58,27232.14,10356.896,35543.72
"Stanley Black & Decker, Inc.",Metal products manufacturing,109159.0,361575.0,844640.5,470734.0,331980.1,1315374.5
Stantec Inc.,Specialized professional services,10333.0,37810.0,9773.0,48143.0,18464.1,57916.0
State Street Corporation,Financial services,9595.75,90517.0,34800.6,100112.75,38913.095,134913.35
Steelcase,Leisure & home manufacturing,48924.15,76218.89,88835.17888888888,125143.04000000001,65094.77777777778,213978.2188888889
Stryker Corporation,Medical equipment & supplies,27840.0,70014.0,61319.0,97854.0,47188.0,159173.0
Sun Life Financial Inc.,Financial services,29788.0,61638.0,6508.0,91426.0,34686.99999999999,97934.0
Suncor Energy Inc.,Oil & gas processing,20576955.0,1553252.0,308567.8,22130207.0,10816166.66,22438774.8
Symantec Corporation,IT & software development,3506.0,59746.0,33956.72727272727,63252.0,26468.145454545454,97208.72727272726
Sysco Corporation,"Trading, wholesale, distribution, rental & leasing",1138283.0,317849.0,14629.0,1456132.0,667422.0,1470761.0
"T. Rowe Price Associates, Inc.",Financial services,2153.91,30803.15,2628.7400000000002,32957.06,10843.648,35585.799999999996
Target Corporation,Convenience retail,755484.0,2162064.0,7127272.7272727275,2917548.0,2451815.7454545456,10044820.727272727
Teknion Limited,Leisure & home manufacturing,10339.0,4351.0,8906.6,14690.0,8256.12,23596.6
Teradata Corp.,IT & software development,275.3333333333333,19345.0,,19620.333333333332,,19620.333333333332
Telus Corporation,"Media, telecommunications & data center services",64861.0,264363.0,6866.666666666667,329224.0,113112.73333333332,336090.6666666667
Teradyne Inc.,Electrical & electronic equipment,1979.0,28333.0,4159.5,30312.0,10321.3,34471.5
Terex Corporation,Powered machinery,43261.0,43141.0,,86402.0,,86402.0
Textron Inc.,Transportation equipment,205744.0,478886.0,33281.5,684630.0,253194.09999999998,717911.5
Texas Instruments Incorporated,Electrical & electronic equipment,1157555.0,1099587.0,31719.0,2257142.0,914997.4,2288861.0
The Hershey Company,Food & beverage processing,114067.0,195886.0,66053.25,309953.0,129009.94999999998,376006.25
The Southern Company,Thermal power generation,102232275.0,2832305.92,37299499.0,105064580.92,59425729.076000005,142364079.92000002
Thermo Fisher Scientific Inc.,Medical equipment & supplies,147521.62,690767.33,105992.26000000001,838288.95,302189.46099999995,944281.21
Thomson Reuters Corporation,Specialized professional services,5632.0,95751.0,55003.125,101383.0,42541.925,156386.125
Tiffany & Co.,Discretionary retail,3151.0,41420.0,57333.333333333336,44571.0,25468.166666666668,101904.33333333334
"TJX Companies, Inc.",Discretionary retail,109302.0,673581.0,40150.0,782883.0,264755.3,823033.0
TD Bank Group,Financial services,53270.0,119205.0,158338.4,172475.0,94064.18,330813.4
Total System Services (TSYS),Specialized professional services,690.0,28919.63,3381.0550000000003,29609.63,9697.099999999999,32990.685
Tower Labs,Biotech & pharma,1406.0,1962.0,,3368.0,,3368.0
TC Energy,Oil & gas storage & transportation,13445443.0,467943.0,654204.25,13913386.0,6993945.25,14567590.25
Transcontinental Inc.,Print & publishing services,71917.0,78806.0,115.0,150723.0,59623.3,150838.0
TransAlta Corporation,Thermal power generation,26926691.333333332,208508.0,654559.0,27135199.333333332,13656809.866666667,27789758.333333332
"The Travelers Companies, Inc.",Financial services,25591.0,29880.0,18584.0,55471.0,25476.3,74055.0
United Airlines Holdings,Air transport,33273067.0,193476.0,2969219.1428571427,33466543.0,17288420.12857143,36435762.14285714
"Tyson Foods, Inc.",Food & beverage processing,3496310.0,2727269.0,,6223579.0,,6223579.0
Johnson Controls International PLC,Electrical & electronic equipment,1032520.0,1315071.0,3091911.111111111,2347591.0,1529163.5222222223,5439502.111111111
U.S. Bancorp,Financial services,59181.0,287193.5,28621.333333333332,346374.5,121472.81666666667,374995.8333333333
Unigen,Electrical & electronic equipment,0.0,0.0,,0.0,,0.0
Unisys Corporation,IT & software development,1606.0,50135.0,8613.0,51741.0,17566.1,60354.0
Union Pacific Corporation,Rail transport,11279681.31,460445.0,692872.5714285715,11740126.31,5916548.669285715,12432998.881428571
UnitedHealth Group Inc,,13924.0,157029.0,75352.25,170953.0,69141.15,246305.25
United Technologies Corporation,Electrical & electronic equipment,796383.0,994400.0,43432331.88888889,1790783.0,9382977.877777778,45223114.88888889
UPS,Intermodal transport & logistics,13851000.0,784000.0,2420333.3333333335,14635000.0,7644766.666666667,17055333.333333332
Unum Group,Financial services,6718.0,17537.0,13493.559999999998,24255.0,11318.811999999998,37748.56
Vander Bend,Metal products manufacturing,0.0,,,0.0,,0.0
Viacom Inc.,"Media, telecommunications & data center services",10146.710000000001,39491.13,17458.04,49637.84,20412.302,67095.88
Vermilion Energy Inc.,Oil & gas extraction & production,742175.0,161312.0,1240596.0,903487.0,667600.3,2144083.0
Verizon Communications Inc.,"Media, telecommunications & data center services",385241.0,4033579.0,98188.0,4418820.0,1422331.8,4517008.0
Virtusa,IT & software development,244.43000000000004,17784.44,9752.225,18028.87,7407.992,27781.095
Visteon,Electrical & electronic equipment,1357.0,40977.0,10402.0,42334.0,15052.0,52736.0
Avantor,Medical equipment & supplies,15932.0,33276.0,,49208.0,,49208.0
Vulcan Materials Company,Other materials,588921.0,362248.0,,951169.0,,951169.0
Walt Disney Company,"Media, telecommunications & data center services",897523.0,1027874.0,7410.0,1925397.0,758605.7,1932807.0
Walgreens Boots Alliance,Convenience retail,394000.0,1751000.0,60000.0,2145000.0,734300.0,2205000.0
"Walmart, Inc.",Convenience retail,6101641.0,13057352.0,16770401.0,19158993.0,10322106.3,35929394.0
"Waste Management, Inc.",Non-energy utilities,16272144.0,246091.0,1245048.24,16518235.0,8458908.947999999,17763283.24
Waters Corporation,Medical equipment & supplies,12311.0,14789.0,92811.33333333333,27100.0,29154.466666666667,119911.33333333333
Wells Fargo & Company,Financial services,95316.0,833204.0,630300.3333333334,928520.0,423679.2666666666,1558820.3333333335
Wesco International,"Trading, wholesale, distribution, rental & leasing",38772.6,20009.4,,58782.0,,58782.0
Anthem Inc,Financial services,7722.25,118371.0,57576.0,126093.25,50887.625,183669.25
Weyerhaeuser Company,Wood & paper materials,465000.0,730000.0,,1195000.0,,1195000.0
"Williams Companies, Inc.",Oil & gas storage & transportation,10480000.0,1096000.0,,11576000.0,,11576000.0
WEC Energy Group,Thermal power generation,27029000.0,75000.0,16043500.0,27104000.0,16745700.0,43147500.0
World Bank Group,International bodies,10276.546666666667,55080.316666666666,66644.8,65356.863333333335,34991.32833333333,132001.66333333333
WORLD WIDE TECHNOLOGY HOLDING COMPANY,"Media, telecommunications & data center services",50.9,10807.7,10758.245,10858.6,5419.409,21616.845
Xerox Corporation,Electrical & electronic equipment,90939.0,60938.0,29469.4,151877.0,69644.78,181346.4
Xcel Energy Inc.,Thermal power generation,47234704.0,711302.0,2793984.6666666665,47946006.0,24389539.533333335,50739990.666666664
WSP,Specialized professional services,24885.0,29076.0,32539.0,53961.0,27673.1,86500.0
"Wyndham Destinations, Inc.","Bars, hotels & restaurants",50564.0,148385.0,7080.0,198949.0,71213.5,206029.0
Yamana Gold Inc.,Metallic mineral mining,279422.94,118027.43,,397450.37,,397450.37
"Yum! Brands, Inc.","Bars, hotels & restaurants",48046.5,155439.22,4823644.5,203485.72,1035383.916,5027130.22
"Zimmer Biomet Holdings, Inc.",Medical equipment & supplies,14552.0,135493.0,4901.5,150045.0,48904.200000000004,154946.5
Chubb Limited,Financial services,26048.0,47190.0,18028.285714285714,73238.0,30786.657142857144,91266.28571428571
Lenovo Group,Electrical & electronic equipment,6031.0,201321.0,1756124.4444444445,207352.0,414636.6888888889,1963476.4444444445
Teck Resources Limited,Coal mining,2607805.33,288665.71,6727871.583333333,2896471.04,2736076.694666667,9624342.623333333
NuVista Energy,Oil & gas extraction & production,264713.0,32218.0,,296931.0,,296931.0
T Mobile USA inc,"Media, telecommunications & data center services",36127.0,1243000.0,360130.0,1279127.0,462989.5,1639257.0
The J.M. Smucker Company,Food & beverage processing,206470.0,253310.0,,459780.0,,459780.0
jcpenney,Discretionary retail,69938.89,545674.52,42146.4,615613.41,207101.081,657759.81
"Interpublic Group of Companies, Inc.",Web & marketing services,2421.85,26426.25,59842.0,28848.1,21107.2,88690.1
Xilinx Inc,Electrical & electronic equipment,1663.0,23103.0,,24766.0,,24766.0
"W.W. Grainger, Inc.","Trading, wholesale, distribution, rental & leasing",37447.0,90805.0,2869323.222222222,128252.0,619829.6444444444,2997575.222222222
Western Digital Corp,Electrical & electronic equipment,46269.3,1110284.6,18131.24,1156553.9000000001,359846.27800000005,1174685.1400000001
Visa,Specialized professional services,9165.0,92519.0,38692.666666666664,101684.0,40076.73333333334,140376.66666666666
VF Corporation,Apparel design,72825.0,160423.0,632092.0833333334,233248.0,210957.81666666668,865340.0833333334
Ventas Inc,Financial services,96941.8,340168.2,67704.66666666667,437110.0,164062.29333333333,504814.6666666667
Varian Medical Systems Inc,Medical equipment & supplies,21486.0,12466.0,52367.181818181816,33952.0,24956.236363636363,86319.18181818182
Bemis Company,Chemicals,186866.0,528769.0,,715635.0,,715635.0
Hormel Foods,Food & beverage processing,979288.0,531649.0,,1510937.0,,1510937.0
Welltower Inc.,Financial services,119859.0,350901.0,83536.83333333333,470760.0,181907.16666666666,554296.8333333334
"Healthpeak Properties, Inc.",Financial services,54260.0,224905.77,18482.416,279165.77,98298.2142,297648.18600000005
FMC Corp,Chemicals,173308.0,113791.0,105185.0,287099.0,141828.3,392284.0
Corning Incorporated,Metal products manufacturing,593561.0,1815321.0,,2408882.0,,2408882.0
Avnet Inc.,"Trading, wholesale, distribution, rental & leasing",5233.0,54409.0,,59642.0,,59642.0
Avis Budget Group,"Trading, wholesale, distribution, rental & leasing",6827371.0,45043.0,1044.0,6872414.0,3427407.1999999997,6873458.0
Charles Komar & Sons,Textiles & fabric goods,949.59,5912.59,24148.495,6862.18,7078.271,31010.675
Cousin Corporation of America,Leisure & home manufacturing,5.0,326.0,,331.0,,331.0
Sonoco Products Company,Plastic product manufacturing,548843.0,623891.0,347997.7,1172734.0,531188.34,1520731.7
Rockline Industries,"Trading, wholesale, distribution, rental & leasing",7657.0,22054.0,29235.0,29711.0,16291.7,58946.0
"All Access Apparel, Inc.",Apparel design,3.84,173.31,335.25,177.15,120.963,512.4
Herman Miller,Leisure & home manufacturing,26700.0,59500.0,15430.0,86200.0,34286.0,101630.0
Horizon Group USA,Paper products & packaging,475.0,811.5,1111.7566666666667,1286.5,703.3013333333333,2398.2566666666667
Tecomet,Medical equipment & supplies,49947.0,921.0,,50868.0,,50868.0
Packaging Corporation Of America,Paper products & packaging,1685026.3333333333,1334989.0,67609.75,3020015.333333333,1256531.8166666667,3087625.083333333
West Pharmaceutical Services,Medical equipment & supplies,28633.0,,20873.0,28633.0,,49506.0
Stephen Gould Corp,Light manufacturing,,,,0.0,,0.0
CABOT MICROELECTRONICS CORP,Chemicals,2385.0,,,2385.0,,2385.0
GW Plastics,Plastic product manufacturing,149.0,9349.5,,9498.5,,9498.5
Tessy Plastics,Plastic product manufacturing,2693.69,10043.86,902.3916666666665,12737.550000000001,4540.481333333333,13639.941666666668
BANCKER ELECTRIC,Construction,,,,0.0,,0.0
DAVEY TREE EXPERT,Energy utility networks,67.0,,,67.0,,67.0
"Itron, Inc.",Electrical & electronic equipment,3445.0,,,3445.0,,3445.0
Golden State Foods,"Trading, wholesale, distribution, rental & leasing",40859.93,52440.92,,93300.85,,93300.85
Syniverse,"Media, telecommunications & data center services",6.79,4137.19,3215.74,4143.98,1887.6999999999998,7359.719999999999
Celanese Corporation,Chemicals,1812864.0,730365.0,,2543229.0,,2543229.0
Accurate Box,Paper products & packaging,2823.0,4332.0,,7155.0,,7155.0
Curtis Packaging Corporation,Paper products & packaging,,,,0.0,,0.0
"Synopsys, Inc.",IT & software development,4665.5,38554.66,8544.84,43220.16,15608.116000000002,51765.0
Milestone AV Technologies,Metal products manufacturing,2423.0,5784.0,4790.5,8207.0,3904.7999999999997,12997.5
Ernst & Young LLP (USA),Specialized professional services,93.7,43615.0,217726.0,43708.7,56676.55,261434.7
Golding Farms Foods,Food & beverage processing,690.0,598.0,,1288.0,,1288.0
Nanjing Usa,Apparel design,67.74,616.02,,683.76,,683.76
Land N Sea Inc,Textiles & fabric goods,301.85,499.1,,800.95,,800.95
Garan Manufacturing Corp,Textiles & fabric goods,519.17,3962.07,,4481.24,,4481.24
Jjs Mae Inc Dba Rainbeau,Textiles & fabric goods,,,,0.0,,0.0
Evenflo Company Inc,Leisure & home manufacturing,,21256.0,,21256.0,,21256.0
Hanesbrands Inc.,Textiles & fabric goods,106842.0,183733.0,391475.54545454547,290575.0,186836.0090909091,682050.5454545454
Silgan Plastics,Plastic product manufacturing,7725.5,181884.0,21.15,189609.5,58432.18,189630.65
Iron Mountain Inc.,IT & software development,148658.25,213827.25,3763.4619999999995,362485.5,139229.9924,366248.962
"DW Morgan, LLC",Intermodal transport & logistics,2527.3,,,2527.3,,2527.3
E S Originals Inc,Textiles & fabric goods,,,,0.0,,0.0
Epic Designers,Textiles & fabric goods,17280.399999999998,5801.0,1857812.474285714,23081.399999999998,381942.99485714285,1880893.874285714
Fashion Avenue Knits Inc,Textiles & fabric goods,,,,0.0,,0.0
Guangdong Textiles,"Trading, wholesale, distribution, rental & leasing",0.0,,,0.0,,0.0
Olaes Enterprises,Textiles & fabric goods,,,,0.0,,0.0
S P L Industries Limited,Textiles & fabric goods,,,,0.0,,0.0
Valmont Inc,Metal products manufacturing,,,,0.0,,0.0
US Cotton,Textiles & fabric goods,2806.0,34023.0,10928323.0,36829.0,2197274.5,10965152.0
Crown Prince,Food & beverage processing,2.18,43.74,366.78999999999996,45.92,87.57,412.71
UNFI,"Trading, wholesale, distribution, rental & leasing",191706.0,50524.0,1135075.0,242230.0,338025.2,1377305.0
CenturyLink,"Media, telecommunications & data center services",286602.9,1975165.0600000003,167577.22,2261767.9600000004,769366.4120000001,2429345.1800000006
Alaska Air Group,Air transport,7751255.0,10744.0,,7761999.0,,7761999.0
"J.B. Hunt Transport Services, Inc.",Intermodal transport & logistics,1635150.0,23245.0,1512749.3333333333,1658395.0,1127098.3666666667,3171144.333333333
Capital Power Corporation,Thermal power generation,11068493.0,7354.0,226193.34714285712,11075847.0,5581691.369428571,11302040.347142857
Detour Gold Corporation,Metallic mineral mining,233889.0,29872.5,10000.0,263761.5,127906.25,273761.5
Gran Tierra Energy Inc.,Oil & gas extraction & production,594748.83,,,594748.83,,594748.83
MEG Energy Corp.,Oil & gas extraction & production,2140537.0,22.0,6503.4,2140559.0,1071575.78,2147062.4
Kimball Electronics,Electrical & electronic equipment,1323.35,50571.0,1351.28,51894.35,16103.230999999998,53245.63
American Water Works,Non-energy utilities,67146.0,541263.0,,608409.0,,608409.0
Motorola Solutions,Electrical & electronic equipment,15291.0,74647.0,269714.28571428574,89938.0,83982.45714285715,359652.28571428574
"Integrated Device Technology, Inc.",Electrical & electronic equipment,597.0,14679.0,1106.395,15276.0,4923.478999999999,16382.395
Charleston Metal Products,Metal products manufacturing,,,,0.0,,0.0
Contact Technologies,Electrical & electronic equipment,,,,0.0,,0.0
"Modern Machine & Metal Fabricators, Inc.",Metal products manufacturing,,,,0.0,,0.0
Revere Copper,"Metal smelting, refining & forming",24899.0,24899.0,,49798.0,,49798.0
Service Steel Div. / Van Pelt Corp.,"Trading, wholesale, distribution, rental & leasing",,,,0.0,,0.0
Zatkoff Seals and Packing,Light manufacturing,599.96,447.81,261.865,1047.77,486.69599999999997,1309.635
"3SI Security Systems, Inc.",Commercial & consumer services,0.0,,,0.0,,0.0
"Central Business Forms, Inc",Paper products & packaging,37.0,32.0,7.0,69.0,29.5,76.0
CleanNet USA,Commercial & consumer services,0.0,,,0.0,,0.0
"EQUINIX, INC.","Media, telecommunications & data center services",46686.0,1916407.0,395344.5,1963093.0,677334.0,2358437.5
Hamilton Safe Company,Metal products manufacturing,4200.0,,4000.0,4200.0,,8200.0
"Harvard Maintenance, Inc.",Commercial & consumer services,283.6,1482.2,432.82,1765.8000000000002,673.024,2198.6200000000003
Hyatt Hotels,"Bars, hotels & restaurants",283766.0,1309478.0,418707.0,1593244.0,618467.7999999999,2011951.0
"SKC Communication Products, LLC","Media, telecommunications & data center services",,,,0.0,,0.0
Cumberland Packing Corp,Food & beverage processing,180.0,251.0,3312.6666666666665,431.0,827.8333333333333,3743.6666666666665
Harris Tea Company,Food & beverage processing,119.0,2654.0,3421.0,2773.0,1539.9,6194.0
"Knouse Foods, Inc",Crop farming,32894.03,21211.49,,54105.520000000004,,54105.520000000004
Kruger Products Inc,Wood & paper materials,218365.0,119240.0,,337605.0,,337605.0
"Lnk International, Inc.",Biotech & pharma,,,,0.0,,0.0
"Mario Camacho Foods, Llc",Food & beverage processing,4.5,923.0,9575.833333333334,927.5,2194.316666666667,10503.333333333334
"Norpac Foods, Inc.",Food & beverage processing,,,,0.0,,0.0
Perfection Bakeries Inc.,Food & beverage processing,22558.0,23206.0,13452.25,45764.0,20931.25,59216.25
"Premio Foods, Inc.",Food & beverage processing,,,,0.0,,0.0
ADTRAN INC,Electrical & electronic equipment,60.0,21991.0,3858.3333333333335,22051.0,7398.966666666667,25909.333333333332
BECK GROUP - HC BECK,Construction,1553.73,5886.19,139367.75333333333,7439.92,30416.272666666664,146807.67333333334
CALIENTE CONSTRUCTION INC,Other services,,,,0.0,,0.0
DG3 NORTH AMERICA INC,Print & publishing services,910.0,4857.17,,5767.17,,5767.17
Ribbon,Electrical & electronic equipment,462.7,13090.0,1863.5,13552.7,4531.05,15416.2
"GROUP O, INC","Media, telecommunications & data center services",,5245.5,,5245.5,,5245.5
Insight Global,Specialized professional services,,,,0.0,,0.0
LINK AMERICA INC,Intermodal transport & logistics,62.25,,,62.25,,62.25
MARKET STRATEGIES INC,Commercial & consumer services,,,,0.0,,0.0
MILLENNIUM TECHNICAL SERVICES,"Media, telecommunications & data center services",0.0,,,0.0,,0.0
RCS SYSTEMS INC,Leisure & home manufacturing,782.0,752.5,,1534.5,,1534.5
SMUD,Thermal power generation,1858250.0,49929.0,110666.28571428571,1908179.0,966236.9571428571,2018845.2857142857
SUN TECHNOLOGIES INC,Specialized professional services,,,,0.0,,0.0
TECHNOLOGY INTEGRATION GROUP,"Trading, wholesale, distribution, rental & leasing",,,,0.0,,0.0
