organization,primary_sector,scope1_2,revenue,co2_intensity
Northrop Grumman Corp,Electrical & electronic equipment,529998.25,42367000576,12.509694875596944
"Cisco Systems, Inc.",IT & software development,707879.0,59053998080,11.986978409845202
Fifth Third Bancorp,Financial services,105565.0,8999999488,11.729445111719544
Johnson & Johnson,Biotech & pharma,1125380.0,96361996288,11.678670465030041
Teradata Corp.,IT & software development,19620.333333333332,1688999936,11.616538825809247
Wells Fargo & Company,Financial services,928520.0,81135001600,11.444136090335641
Hewlett Packard Enterprise Company,"Media, telecommunications & data center services",403018.0,35742998528,11.275439011763037
Visteon,Electrical & electronic equipment,42334.0,3788000000,11.175818373812039
Xylem Inc,Powered machinery,100904.86499999999,9091000320,11.099423765062632
"PNC Financial Services Group, Inc.",Financial services,249396.0,23042000896,10.823539202417711
Biogen Inc.,Biotech & pharma,104716.25,9937399808,10.537590518970493
PACCAR Inc,Transportation equipment,292717.0,27779600384,10.537120619222224
Huntington Bancshares Incorporated,Financial services,87000.0,8297999872,10.484454247048705
"Alphabet, Inc.",Web & marketing services,4408207.0,422498009088,10.433675201252454
AbbVie Inc,Biotech & pharma,630569.0,62819000320,10.037870656773928
Microsoft Corporation,IT & software development,3091246.0,318272995328,9.712561371454967
"Amgen, Inc.",Biotech & pharma,336322.0,37219999744,9.036055946083566
West Pharmaceutical Services,Medical equipment & supplies,28633.0,3220999936,8.889475494854526
Costco Wholesale Corporation,Convenience retail,2508419.41,286265016320,8.762577566222676
Agilent Technologies Inc.,Medical equipment & supplies,59484.25,7064999936,8.419568370679741
KeyCorp,Financial services,60429.27,7200999936,8.39178871504992
Citigroup Inc.,Financial services,657652.0,78734000128,8.352833578007434
Teradyne Inc.,Electrical & electronic equipment,30312.0,3786838016,8.004567365154497
Bank of America,Financial services,876311.0,109590003712,7.9962676368086
Calumet Specialty Products Partners LP,Oil & gas processing,33027.4,4172900096,7.914735373525703
Oracle Corporation,IT & software development,507001.0,64076001280,7.912494379674249
UNFI,"Trading, wholesale, distribution, rental & leasing",242230.0,31541999616,7.679601894266917
Bristol-Myers Squibb,Biotech & pharma,372000.0,48482000896,7.672950644054211
Broadridge Financial Solutions Inc,Specialized professional services,55529.0,7322299904,7.583546252956099
